question,fine
What are the colors of the German flag ?,color
What is the Moulin Rouge ?,def
What soviet seaport is on the Black Sea ?,other
What is the atomic weight of silver ?,weight
What currency do they use in Brazil ?,currency
What are pathogens ?,def
What is mad cow disease ?,def
Name a food high in zinc .,food
When did North Carolina enter the union ?,date
Where do apple snails live ?,other
What are ethics ?,def
What does CPR stand for ?,exp
What is an annuity ?,def
Who killed John F. Kennedy ?,ind
Who was the first vice president of the U.S. ?,ind
What birthstone is turquoise ?,substance
Who was the first US President to ride in an automobile to his inauguration ?,ind
How old was the youngest president of the United States ?,period
When was Ulysses S. Grant born ?,date
What is Muscular Dystrophy ?,def
Who lived in the Neuschwanstein castle ?,ind
What is propylene glycol ?,def
What is a panic disorder ?,def
Who invented the instant Polaroid camera ?,ind
What is a carcinogen ?,def
What is a baby lion called ?,animal
What is the world 's population ?,other
What is nepotism ?,def
What is die-casting ?,def
What is myopia ?,def
What is the sales tax rate in New York ?,other
Developing nations comprise what percentage of the world 's population ?,perc
What is the fourth highest mountain in the world ?,mount
What is Shakespeare 's nickname ?,ind
What is the heaviest naturally occurring element ?,substance
When is Father 's Day ?,date
What does the acronym NASA stand for ?,exp
How long is the Columbia River in miles ?,dist
What city 's newspaper is called `` The Star '' ?,city
What is carbon dioxide ?,def
Where is the Mason/Dixon line ?,other
When was the Boston tea party ?,date
What is metabolism ?,def
Which U.S.A. president appeared on `` Laugh-In '' ?,ind
What are cigarettes made of ?,substance
What is the capital of Zimbabwe ?,city
What does NASA stand for ?,exp
What is the state flower of Michigan ?,plant
What are semiconductors ?,def
What is nuclear power ?,def
What is a tsunami ?,def
Who is the congressman from state of Texas on the armed forces committee ?,ind
Who was president in 1913 ?,ind
When was the first kidney transplant ?,date
What are Canada 's two territories ?,other
What was the name of the plane Lindbergh flew solo across the Atlantic ?,veh
What is genocide ?,def
What continent is Argentina on ?,other
What monastery was raided by Vikings in the late eighth century ?,other
What is an earthquake ?,def
Where is the tallest roller coaster located ?,other
What are enzymes ?,def
Who discovered oxygen ?,ind
What is bangers and mash ?,def
What is the name given to the Tiger at Louisiana State University ?,animal
Where are the British crown jewels kept ?,other
Who was the first person to reach the North Pole ?,ind
What is an ulcer ?,def
What is vertigo ?,def
What is the spirometer test ?,def
When is the official first day of summer ?,date
What does the abbreviation SOS mean ?,exp
What is the smallest bird in Britain ?,animal
Who invented Trivial Pursuit ?,ind
What gasses are in the troposphere ?,substance
Which country has the most water pollution ?,country
What is the scientific name for elephant ?,animal
Who is the actress known for her role in the movie `` Gypsy '' ?,ind
What breed of hunting dog did the Beverly Hillbillies own ?,animal
What is the rainiest place on Earth ?,other
Who was the first African American to win the Nobel Prize in literature ?,ind
When is St. Patrick 's Day ?,date
What was FDR 's dog 's name ?,animal
What colors need to be mixed to get the color pink ?,color
What is the most popular sport in Japan ?,sport
What is the active ingredient in baking soda ?,food
When was Thomas Jefferson born ?,date
How cold should a refrigerator be ?,temp
When was the telephone invented ?,date
What is the most common eye color ?,color
Where was the first golf course in the United States ?,other
What is schizophrenia ?,def
What is angiotensin ?,def
What did Jesse Jackson organize ?,gr
What is New York 's state bird ?,animal
What is the National Park in Utah ?,other
What is Susan B. Anthony 's birthday ?,date
In which state would you find the Catskill Mountains ?,state
What do you call a word that is spelled the same backwards and forwards ?,termeq
What are pediatricians ?,def
"What chain store is headquartered in Bentonville , Arkansas ?",gr
What are solar cells ?,def
What is compounded interest ?,def
What are capers ?,def
What is an antigen ?,def
What currency does Luxembourg use ?,currency
What is the population of Venezuela ?,other
What type of polymer is used for bulletproof vests ?,other
What currency does Argentina use ?,currency
What is a thermometer ?,def
What Canadian city has the largest population ?,city
What color are crickets ?,color
Which country gave New York the Statue of Liberty ?,country
What was the name of the first U.S. satellite sent into space ?,product
What precious stone is a form of pure carbon ?,substance
What kind of gas is in a fluorescent bulb ?,substance
What is rheumatoid arthritis ?,def
"What river runs through Rowe , Italy ?",other
What is cerebral palsy ?,def
What city is also known as `` The Gateway to the West '' ?,city
How far away is the moon ?,dist
What is the source of natural gas ?,other
In what spacecraft did U.S. astronaut Alan Shepard make his historic 1961 flight ?,veh
What is pectin ?,def
What is bio-diversity ?,def
What 's the easiest way to remove wallpaper ?,techmeth
What year did the Titanic start on its journey ?,date
How much of an apple is water ?,count
Who was the 22nd President of the US ?,ind
What is the money they use in Zambia ?,currency
How many feet in a mile ?,count
What is the birthstone of October ?,substance
What is e-coli ?,def
